mrp,selling_price,discount_percent,customer_rating,total_reviews,page_views,ad_spend_inr,is_sale_season,is_weekend,inventory_level,year,month,day,day_of_week,week_of_year,day_of_year,quarter,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,discount_amount,price_discount_ratio,ad_spend_per_view,inventory_demand_ratio,inventory_gap,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,demand_rolling_7,demand_rolling_14,demand_rolling_30,demand_rolling_std_7,units_sold_lag_1,units_sold_lag_7,selling_price_lag_1,selling_price_change,inventory_lag_1,inventory_change,product_demand_rank
13999.0,6999.5,50,4.3,10734,4104,621,0,1,160,2023,1,1,6,52,1,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0.0172133561558346,0.9998518392091162,6999.5,0.5,0.1513157894736842,1.4035087719298245,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1299.0,1039.2,20,4.5,11952,7346,885,0,0,216,2023,1,2,0,1,2,1,0.0,1.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,259.79999999999995,0.1999999999999999,0.1204737271984753,1.9285714285714288,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13999.0,9799.3,30,3.8,13672,11272,1582,0,0,256,2023,1,3,1,1,3,1,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,4199.700000000001,0.3,0.1403477643718949,1.8962962962962964,121,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,6999.5,2799.7999999999997,160.0,96.0,1.0
1299.0,1039.2,20,4.5,6537,12529,1654,0,0,87,2023,1,4,2,1,4,1,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,259.79999999999995,0.1999999999999999,0.1320137281506904,0.6444444444444445,-48,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,1039.2,0.0,216.0,-129.0,1.0
2990.0,2392.0,20,4.5,13445,9110,1276,0,0,231,2023,1,5,3,1,5,1,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0859647987374464,0.9962981749346078,598.0,0.2,0.14006586169045,1.9090909090909087,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
799.0,479.4,40,3.9,8167,13892,1911,0,0,146,2023,1,6,4,1,6,1,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.1031016974474348,0.9946708199115212,319.6,0.4,0.13756118629427,0.7849462365591398,-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4999.0,3499.3,30,3.8,11891,5422,661,0,1,96,2023,1,7,5,1,7,1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0.1202080448993527,0.9927487224577402,1499.6999999999998,0.3,0.1219107340464773,0.8421052631578947,-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
799.0,639.2,20,4.0,14289,8308,1291,0,1,181,2023,1,8,6,1,8,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0.1372787721132647,0.9905324521322229,159.79999999999995,0.1999999999999999,0.1553923928743379,1.547008547008547,64,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,479.4,159.80000000000007,146.0,35.0,1.0
799.0,639.2,20,4.4,5088,9470,1020,0,0,228,2023,1,9,0,2,9,1,0.0,1.0,0.4999999999999999,0.8660254037844387,0.1543088206642811,0.9880226656636976,159.79999999999995,0.1999999999999999,0.1077085533262935,1.7272727272727273,96,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,639.2,0.0,181.0,47.0,1.0
2990.0,2093.0,30,4.4,11211,13083,1551,0,0,88,2023,1,10,1,2,10,1,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0.1712931441814776,0.9852201067560606,897.0,0.3,0.118550791102958,0.5714285714285714,-66,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,2392.0,-299.0,231.0,-143.0,1.0
4999.0,3999.2,20,4.1,14026,7225,598,0,0,154,2023,1,11,2,2,11,1,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.1882267098432442,0.9821256058680006,999.8000000000002,0.2,0.0827681660899654,1.4128440366972477,45,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,3499.3,499.8999999999997,96.0,58.0,1.0
1299.0,779.4,40,4.2,11943,6308,897,0,0,275,2023,1,12,3,2,12,1,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.2051044998686192,0.9787400799669153,519.6,0.4,0.1422003804692454,1.9927536231884055,137,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,1039.2,-259.80000000000007,87.0,188.0,1.0
4999.0,3999.2,20,3.9,5899,8759,1242,0,0,212,2023,1,13,4,2,13,1,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.2219215130041655,0.9750645322571948,999.8000000000002,0.2,0.1417970087909578,1.7096774193548387,88,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,3999.2,0.0,154.0,58.0,1.0
799.0,559.3,30,3.9,11707,14069,1683,0,1,165,2023,1,14,5,2,14,1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0.2386727660059501,0.9711000518829505,239.70000000000005,0.3,0.1196247068021892,1.0248447204968945,4,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,639.2,-79.90000000000009,228.0,-63.0,1.0
13999.0,6999.5,50,4.4,7735,12929,1295,0,1,223,2023,1,15,6,2,15,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0.255353295116187,0.9668478136052776,6999.5,0.5,0.1001624255549539,1.1614583333333333,31,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,9799.3,-2799.7999999999997,256.0,-33.0,1.0
4999.0,3999.2,20,4.0,12437,12616,1908,0,0,185,2023,1,16,0,3,16,1,0.0,1.0,0.4999999999999999,0.8660254037844387,0.2719581575341055,0.9623090774541486,999.8000000000002,0.2,0.1512365250475586,1.3214285714285714,45,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,3999.2,0.0,212.0,-27.0,1.0
799.0,479.4,40,3.8,10623,14905,1934,0,0,235,2023,1,17,1,3,17,1,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0.288482432880609,0.9574851883550392,319.6,0.4,0.1297551157329755,1.3988095238095235,67,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,559.3,-79.89999999999998,165.0,70.0,1.0
1299.0,1039.2,20,4.2,8355,10351,1636,0,0,119,2023,1,18,2,3,18,1,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.304921224656289,0.9523775757303974,259.79999999999995,0.1999999999999999,0.1580523620906192,0.8686131386861314,-18,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,779.4,259.80000000000007,275.0,-156.0,1.0
13999.0,11199.2,20,4.1,12334,9124,1451,0,0,146,2023,1,19,3,3,19,1,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.3212696616923644,0.9469877530760752,2799.7999999999997,0.1999999999999999,0.1590311266988163,1.206611570247934,25,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,6999.5,4199.700000000001,223.0,-77.0,1.0
799.0,639.2,20,4.2,10306,11313,1576,0,0,266,2023,1,20,4,3,20,1,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.3375228995941133,0.9413173175128472,159.79999999999995,0.1999999999999999,0.1393087598338195,1.9136690647482013,127,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,479.4,159.80000000000007,235.0,31.0,1.0
13999.0,11199.2,20,4.1,14018,7977,793,0,1,200,2023,1,21,5,3,21,1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0.3536761221763716,0.9353679493131484,2799.7999999999997,0.1999999999999999,0.0994108060674439,1.7543859649122806,86,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,11199.2,0.0,146.0,54.0,1.0
2990.0,2392.0,20,4.2,7574,16119,1872,0,1,269,2023,1,22,6,3,22,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0.3697245428906731,0.9291414114031744,598.0,0.2,0.1161362367392518,1.620481927710843,103,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,2093.0,299.0,88.0,181.0,1.0
13999.0,11199.2,20,4.2,13404,12761,1671,0,0,109,2023,1,23,0,4,23,1,0.0,1.0,0.4999999999999999,0.8660254037844387,0.385663406243607,0.9226395488404876,2799.7999999999997,0.1999999999999999,0.1309458506386646,0.7622377622377622,-34,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,11199.2,0.0,200.0,-91.0,1.0
4999.0,2999.4,40,4.3,13189,6935,972,0,0,111,2023,1,24,1,4,24,1,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0.401487989205973,0.9158642882672872,1999.6,0.3999999999999999,0.1401586157173756,0.7928571428571428,-29,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,3999.2,-999.7999999999996,185.0,-74.0,1.0
1299.0,1039.2,20,3.9,13887,10293,1516,0,0,200,2023,1,25,2,4,25,1,0.9749279121818236,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.4171936026123168,0.9088176373395028,259.79999999999995,0.1999999999999999,0.1472845623239094,1.6260162601626016,77,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,1039.2,0.0,119.0,81.0,1.0
799.0,239.7,70,4.2,12475,34797,5170,1,0,347,2023,1,26,3,4,26,1,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.4327755925504312,0.901501684131884,559.3,0.7,0.1485760266689657,0.7977011494252874,-88,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,639.2,-399.50000000000006,266.0,81.0,1.0
13999.0,8399.4,40,4.3,6726,17932,1943,0,0,191,2023,1,27,4,4,27,1,-0.433883739117558,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.4482293417404106,0.893918596519257,5599.6,0.4,0.1083537809502565,1.0268817204301075,5,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,11199.2,-2799.800000000001,109.0,82.0,1.0
2990.0,2392.0,20,3.9,9514,9017,1321,0,1,232,2023,1,28,5,4,28,1,-0.9749279121818236,-0.2225209339563146,0.4999999999999999,0.8660254037844387,0.4635502709028509,0.886070621534138,598.0,0.2,0.1465010535654874,1.8125,104,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,2392.0,0.0,269.0,-37.0,1.0
13999.0,8399.4,40,4.0,14576,11123,1315,0,1,208,2023,1,29,6,4,29,1,-0.7818314824680299,0.6234898018587334,0.4999999999999999,0.8660254037844387,0.4787338401157884,0.8779600847008882,5599.6,0.4,0.1182235008540861,1.2760736196319018,45,186.0,114.0,0.0,0.0,143.57142857142858,0.0,0.0,32.85755693320864,186.0,114.0,8399.4,0.0,191.0,17.0,1.0
2990.0,2093.0,30,4.2,8533,10395,1545,0,0,183,2023,1,30,0,5,30,1,0.0,1.0,0.4999999999999999,0.8660254037844387,0.4937755501599771,0.869589389346611,897.0,0.3,0.1486291486291486,1.22,33,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,2392.0,-299.0,232.0,-49.0,1.0
1299.0,779.4,40,4.2,5315,13245,1800,0,0,235,2023,1,31,1,5,31,1,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844387,0.5086709438521044,0.8609610158889943,519.6,0.4,0.1359003397508493,1.3202247191011236,57,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,1039.2,-259.80000000000007,200.0,35.0,1.0
13999.0,11199.2,20,4.3,13301,15086,1695,0,0,126,2023,2,1,2,5,32,1,0.9749279121818236,-0.2225209339563143,0.8660254037844386,0.5000000000000001,0.5234156073655503,0.8520775211013093,2799.7999999999997,0.1999999999999999,0.1123558265941933,0.7730061349693251,-37,163.0,135.0,0.0,0.0,150.57142857142858,0.0,0.0,30.653206155621756,163.0,135.0,8399.4,2799.800000000001,208.0,-82.0,1.0
799.0,479.4,40,4.3,6156,5189,779,0,0,219,2023,2,2,3,5,33,1,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,319.6,0.4,0.1501252649836192,1.8099173553719008,98,435.0,186.0,0.0,0.0,191.14285714285717,0.0,0.0,110.03852139353832,347.0,146.0,239.7,239.7,347.0,-128.0,1.0
2990.0,2392.0,20,3.9,6915,9378,1065,0,0,236,2023,2,3,4,5,34,1,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,598.0,0.2,0.1135636596289187,1.858267716535433,109,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,2093.0,299.0,183.0,53.0,1.0
4999.0,3499.3,30,4.5,8111,4979,654,0,1,227,2023,2,4,5,5,35,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,1499.6999999999998,0.3,0.131351677043583,1.94017094017094,110,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,2999.4,499.9000000000001,111.0,116.0,1.0
