date,asin,product_name,mrp,selling_price,discount_percent,customer_rating,total_reviews,page_views,ad_spend_inr,is_sale_season,is_weekend,inventory_level,units_sold,is_stockout,actual_demand
2023-01-01,B09V4D4N5T,Samsung Galaxy M13 Smartphone,13999.0,6999.5,50,4.3,10734,4104,621,0,1,160,114,0,114
2023-01-02,B07X9Y3Q4S,Mi Power Bank 10000mAh,1299.0,1039.2,20,4.5,11952,7346,885,0,0,216,112,0,112
2023-01-03,B09V4D4N5T,Samsung Galaxy M13 Smartphone,13999.0,9799.3,30,3.8,13672,11272,1582,0,0,256,135,0,135
2023-01-04,B07X9Y3Q4S,Mi Power Bank 10000mAh,1299.0,1039.2,20,4.5,6537,12529,1654,0,0,87,87,1,135
2023-01-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,13445,9110,1276,0,0,231,121,0,121
2023-01-06,B07HGH8D2R,HP Wireless Mouse,799.0,479.4,40,3.9,8167,13892,1911,0,0,146,146,1,186
2023-01-07,B08N5WRWNW,Noise ColorFit Smartwatch,4999.0,3499.3,30,3.8,11891,5422,661,0,1,96,96,1,114
2023-01-08,B07HGH8D2R,HP Wireless Mouse,799.0,639.2,20,4.0,14289,8308,1291,0,1,181,117,0,117
2023-01-09,B07HGH8D2R,HP Wireless Mouse,799.0,639.2,20,4.4,5088,9470,1020,0,0,228,132,0,132
2023-01-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,11211,13083,1551,0,0,88,88,1,154
2023-01-11,B08N5WRWNW,Noise ColorFit Smartwatch,4999.0,3999.2,20,4.1,14026,7225,598,0,0,154,109,0,109
2023-01-12,B07X9Y3Q4S,Mi Power Bank 10000mAh,1299.0,779.4,40,4.2,11943,6308,897,0,0,275,138,0,138
2023-01-13,B08N5WRWNW,Noise ColorFit Smartwatch,4999.0,3999.2,20,3.9,5899,8759,1242,0,0,212,124,0,124
2023-01-14,B07HGH8D2R,HP Wireless Mouse,799.0,559.3,30,3.9,11707,14069,1683,0,1,165,161,0,161
2023-01-15,B09V4D4N5T,Samsung Galaxy M13 Smartphone,13999.0,6999.5,50,4.4,7735,12929,1295,0,1,223,192,0,192
