date,asin,product_name,mrp,selling_price,discount_percent,customer_rating,total_reviews,page_views,ad_spend_inr,is_sale_season,is_weekend,inventory_level,units_sold,is_stockout,actual_demand
2023-01-01,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,20191,8364,1544,0,1,195,158,0,158
2023-01-02,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.3,16690,15173,1832,0,0,401,216,0,216
2023-01-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,16194,8895,959,0,0,131,131,1,146
2023-01-04,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.8,17762,10935,1475,0,0,255,163,0,163
2023-01-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,16287,11743,1331,0,0,257,183,0,183
2023-01-06,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,23458,9110,1276,0,0,167,167,1,169
2023-01-07,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,15805,6547,534,0,1,206,147,0,147
2023-01-08,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,24727,10424,1202,0,1,243,164,0,164
2023-01-09,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.4,22669,10683,1775,0,0,142,142,1,181
2023-01-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.5,21376,6423,879,0,0,96,96,1,165
2023-01-11,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.8,17618,13374,1867,0,0,387,199,0,199
2023-01-12,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,21239,13083,1551,0,0,376,219,0,219
2023-01-13,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.8,17514,10965,1304,0,0,313,174,0,174
2023-01-14,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,18905,12498,1528,0,1,292,172,0,172
2023-01-15,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.8,16554,9617,1363,0,1,325,191,0,191
2023-01-16,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.3,16134,7054,1024,0,0,325,166,0,166
2023-01-17,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,24869,12051,1512,0,0,219,184,0,184
2023-01-18,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.4,22477,12616,1908,0,0,218,207,0,207
2023-01-19,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.0,23991,12403,1979,0,0,261,180,0,180
2023-01-20,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,16590,12004,1756,0,0,139,139,1,176
2023-01-21,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.3,22654,11269,1636,0,1,219,180,0,180
2023-01-22,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.8,20960,12979,1748,0,1,227,196,0,196
2023-01-23,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.1,25035,15713,1939,0,0,363,219,0,219
2023-01-24,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,4.1,22892,8203,697,0,0,333,189,0,189
2023-01-25,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,19402,14049,1849,0,0,466,242,0,242
2023-01-26,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.0,18036,20865,3734,1,0,762,425,0,425
2023-01-27,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,3.9,23285,6935,972,0,0,341,180,0,180
2023-01-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,17184,10696,1396,0,1,127,127,1,183
2023-01-29,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1794.0,40,3.9,22540,13150,1622,0,1,186,186,1,224
2023-01-30,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.3,19344,6589,753,0,0,197,197,1,199
2023-01-31,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,1495.0,50,4.0,20123,8801,837,0,0,254,188,0,188
