date,asin,product_name,mrp,selling_price,discount_percent,customer_rating,total_reviews,page_views,ad_spend_inr,is_sale_season,is_weekend,inventory_level,units_sold,is_stockout,actual_demand,year,month,day,day_of_week,week_of_year,day_of_year,quarter,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,discount_amount,price_discount_ratio,ad_spend_per_view,inventory_demand_ratio,inventory_gap,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,demand_rolling_7,demand_rolling_14,demand_rolling_30,demand_rolling_std_7,units_sold_lag_1,units_sold_lag_7,selling_price_lag_1,selling_price_change,inventory_lag_1,inventory_change,product_demand_rank
2023-01-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,13445,9110,1276,0,0,231,121,0,121,2023,1,5,3,1,5,1,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,598.0,0.2,0.14006586169045004,1.9090909090909092,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-10,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.4,11211,13083,1551,0,0,88,88,1,154,2023,1,10,1,2,10,1,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.1712931441814776,0.9852201067560606,897.0,0.3,0.11855079110295803,0.5714285714285714,-66,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,2392.0,-299.0,231.0,-143.0,1.0
2023-01-22,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.2,7574,16119,1872,0,1,269,166,0,166,2023,1,22,6,3,22,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.3697245428906731,0.9291414114031743,598.0,0.2,0.11613623673925182,1.6204819277108433,103,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,2093.0,299.0,88.0,181.0,1.0
2023-01-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,9514,9017,1321,0,1,232,128,0,128,2023,1,28,5,4,28,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.4635502709028509,0.886070621534138,598.0,0.2,0.1465010535654874,1.8125,104,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,2392.0,0.0,269.0,-37.0,1.0
2023-01-30,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.2,8533,10395,1545,0,0,183,150,0,150,2023,1,30,0,5,30,1,0.0,1.0,0.49999999999999994,0.8660254037844387,0.49377555015997715,0.869589389346611,897.0,0.3,0.14862914862914864,1.22,33,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,2392.0,-299.0,232.0,-49.0,1.0
2023-02-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,3.9,6915,9378,1065,0,0,236,127,0,127,2023,2,3,4,5,34,1,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,598.0,0.2,0.11356365962891875,1.858267716535433,109,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,2093.0,299.0,183.0,53.0,1.0
2023-02-28,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.0,12593,14475,1938,0,0,163,148,0,148,2023,2,28,1,9,59,1,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722,897.0,0.3,0.1338860103626943,1.1013513513513513,15,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,2392.0,-299.0,236.0,-73.0,1.0
2023-03-03,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2392.0,20,4.5,8810,11033,1184,0,0,105,105,1,118,2023,3,3,4,9,62,1,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.8758917051442429,0.48250774176121847,598.0,0.2,0.10731442037523792,0.8898305084745762,-13,148.0,121.0,0.0,0.0,142.0,0.0,0.0,16.743157806499145,148.0,121.0,2093.0,299.0,163.0,-58.0,1.0
2023-03-05,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,4.2,7892,6047,970,0,1,132,119,0,119,2023,3,5,6,9,64,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.8919813464595485,0.45207220393230435,897.0,0.3,0.16041012072101868,1.1092436974789917,13,118.0,154.0,0.0,0.0,141.57142857142858,0.0,0.0,17.395949172696717,105.0,88.0,2392.0,-299.0,105.0,27.0,1.0
2023-03-26,B073496Y7S,boAt Rockerz Wireless Bluetooth Earbuds,2990.0,2093.0,30,3.9,9458,16327,1993,0,1,134,134,1,186,2023,3,26,6,12,85,1,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.994217906893952,0.10738134666416309,897.0,0.3,0.12206774055245911,0.7204301075268817,-52,119.0,166.0,0.0,0.0,136.57142857142858,0.0,0.0,18.237846572966003,119.0,166.0,2093.0,0.0,132.0,2.0,1.0
