mrp,selling_price,discount_percent,customer_rating,total_reviews,page_views,ad_spend_inr,is_sale_season,is_weekend,inventory_level,year,month,day,day_of_week,week_of_year,day_of_year,quarter,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,discount_amount,price_discount_ratio,ad_spend_per_view,inventory_demand_ratio,inventory_gap,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_30,demand_rolling_7,demand_rolling_14,demand_rolling_30,demand_rolling_std_7,units_sold_lag_1,units_sold_lag_7,selling_price_lag_1,selling_price_change,inventory_lag_1,inventory_change,product_demand_rank
4999.0,3499.3,30,4.5,16609,9812,1674,0,0,264,2024,8,16,4,33,229,3,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,-0.7176769136759615,-0.6963762255968726,1499.6999999999998,0.3,0.1706074194863432,1.9411764705882355,128,126.0,109.0,156.0,129.0,136.85714285714286,140.42857142857142,135.2,17.56349027033647,126.0,109.0,3499.3,0.0,224.0,40.0,1.0
4999.0,3999.2,20,4.4,8371,10785,1796,0,0,104,2024,8,21,2,34,234,3,0.9749279121818236,-0.2225209339563143,-0.8660254037844385,-0.5000000000000004,-0.7748840413670406,-0.6321034111873488,999.8000000000002,0.2,0.1665275846082522,0.7536231884057971,-34,136.0,143.0,119.0,147.0,140.71428571428572,139.0,135.43333333333334,12.724180205607526,136.0,143.0,3499.3,499.8999999999997,264.0,-160.0,1.0
4999.0,3999.2,20,4.2,9586,10321,1472,0,1,101,2024,9,7,5,36,251,3,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210294e-16,-0.9242907221930934,-0.3816892202666586,999.8000000000002,0.2,0.1426218389690921,0.7952755905511811,-26,138.0,162.0,197.0,166.0,140.0,140.35714285714286,135.13333333333333,12.714820748507597,104.0,162.0,3999.2,0.0,104.0,-3.0,1.0
4999.0,2499.5,50,4.3,11416,9496,692,0,0,132,2024,9,9,0,37,253,3,0.0,1.0,-1.0,-1.8369701987210294e-16,-0.9368813462954316,-0.3496474552512282,2499.5,0.5,0.0728727885425442,0.8148148148148148,-30,127.0,147.0,115.0,127.0,135.0,135.35714285714286,133.83333333333334,8.944271909999918,101.0,147.0,3999.2,-1499.6999999999998,101.0,31.0,1.0
4999.0,3999.2,20,4.3,9422,14687,1954,0,0,277,2024,9,10,1,37,254,3,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210294e-16,-0.9427611433904206,-0.333468778918187,999.8000000000002,0.2,0.1330428269898549,1.7531645569620251,119,162.0,126.0,162.0,153.0,137.14285714285714,138.71428571428572,135.0,13.120322295693432,132.0,126.0,2499.5,1499.6999999999998,132.0,145.0,1.0
4999.0,2499.5,50,4.4,10534,8189,769,0,1,231,2024,9,22,6,38,266,3,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,-0.9911140639934546,-0.1330147065341963,2499.5,0.5,0.0939064598852118,1.5608108108108107,83,158.0,145.0,121.0,118.0,141.71428571428572,138.42857142857142,135.16666666666666,14.126975209557086,158.0,145.0,3999.2,-1499.6999999999998,277.0,-46.0,1.0
4999.0,1749.65,65,4.0,14281,29500,4494,1,0,273,2024,9,25,2,39,269,3,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210294e-16,-0.99665890175417,-0.0816763953304228,3249.35,0.65,0.1523389830508474,0.6825,-127,148.0,126.0,138.0,121.0,142.14285714285714,140.35714285714286,136.16666666666666,14.287856982167373,148.0,126.0,2499.5,-749.8499999999999,231.0,42.0,1.0
4999.0,1499.7,70,3.9,8646,20667,3364,1,1,445,2024,9,28,5,39,272,3,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210294e-16,-0.9995462806873572,-0.0301203048469083,3499.3,0.7000000000000001,0.1627715682005129,1.289855072463768,100,400.0,136.0,109.0,126.0,181.28571428571428,159.07142857142858,145.46666666666667,97.2363345766631,273.0,136.0,1749.65,-249.95000000000005,273.0,172.0,1.0
4999.0,2999.4,40,4.4,8463,28639,4120,1,1,313,2024,9,29,6,39,273,3,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,-0.999916658654738,-0.0129102960750088,1999.6,0.3999999999999999,0.1438597716400712,0.8598901098901099,-51,345.0,138.0,143.0,166.0,211.14285714285717,175.92857142857142,152.76666666666668,111.98277928834798,345.0,104.0,1499.7,1499.7,445.0,-132.0,1.0
4999.0,2499.5,50,4.2,11568,30026,5276,1,0,730,2024,9,30,0,40,274,3,0.0,1.0,-1.0,-1.8369701987210294e-16,-0.99999073973619,0.0043035382962438,2499.5,0.5,0.1757143808699127,1.886304909560724,343,364.0,127.0,162.0,91.0,243.42857142857144,191.7142857142857,159.36666666666667,119.69385551321773,313.0,101.0,2999.4,-499.9000000000001,313.0,417.0,1.0
